Date,SP500,iShares
7/11/2011,-0.004433512,-0.010767441
7/12/2011,0.00310584,0.003066071
7/13/2011,-0.006716128,-0.010239965
7/14/2011,0.005554425,0.014515217
7/15/2011,-0.00812989,-0.003500814
7/18/2011,0.016308708,0.027646146
7/19/2011,-0.000670833,-0.004458829
7/20/2011,0.013546192,0.003433785
7/21/2011,0.000907852,0.014283941
7/22/2011,-0.005643013,-0.003374331
7/25/2011,-0.004104972,0.003974336
7/26/2011,-0.020308668,-0.030200844
7/27/2011,-0.003233967,0.001058127
7/28/2011,-0.006450533,-0.00739956
7/29/2011,-0.004132299,-0.002130021
8/1/2011,-0.025556664,-0.022564293
8/2/2011,0.005015683,0.010138669
8/3/2011,-0.047820447,-0.045243805
8/4/2011,-0.000574917,-0.008410042
8/5/2011,-0.066634464,-0.055945392
8/8/2011,0.047406848,0.041810502
8/9/2011,-0.044152404,-0.037810978
8/10/2011,0.046290022,0.041882078
8/11/2011,0.005261669,0.008933118
8/12/2011,0.021784622,0.017543973
8/15/2011,-0.009738545,-0.01127948
8/16/2011,0.000947387,-0.008963493
8/17/2011,-0.044593715,-0.051965292
8/18/2011,-0.015008981,-0.027926962
8/19/2011,0.000258041,0.005174975
8/22/2011,0.034284878,0.039765713
8/23/2011,0.013119973,0.007170751
8/24/2011,-0.01556552,-0.015765375
8/25/2011,0.01512161,0.024113052
8/26/2011,0.028280001,0.029263354
8/29/2011,0.002347025,0.002124189
8/30/2011,0.004921982,0.000489078
8/31/2011,-0.011871433,-0.012060101
9/1/2011,-0.025281938,-0.024249284
9/2/2011,-0.00743629,-0.005071755
9/6/2011,0.028646464,0.027527451
9/7/2011,-0.01061218,-0.003968924
9/8/2011,-0.026705492,-0.020919643
9/9/2011,0.006965718,0.012718289
9/12/2011,0.009120062,0.013730745
9/13/2011,0.013479805,0.017178634
9/14/2011,0.017187073,0.015751859
9/15/2011,0.005706698,0.008473204
9/16/2011,-0.009802587,-0.000634047
9/19/2011,-0.001661005,-0.004758861
9/20/2011,-0.029390442,-0.014344933
9/21/2011,-0.031883121,-0.030886236
9/22/2011,0.006082009,0.010713957
9/23/2011,0.023336145,0.013891474
9/26/2011,0.010688383,0.012558946
9/27/2011,-0.020691135,-0.016269299
9/28/2011,0.008114229,-0.00392987
9/29/2011,-0.024974129,-0.027782468
9/30/2011,-0.028451029,-0.024687158
10/3/2011,0.022488443,0.023058172
10/4/2011,0.017865634,0.024572087
10/5/2011,0.018303665,0.017367055
10/6/2011,-0.008163309,-0.005202675
10/7/2011,0.034124985,0.032521766
10/10/2011,0.000544003,0.006806
10/11/2011,0.009794704,0.005502275
10/12/2011,-0.002973672,0.011725883
10/13/2011,0.017380258,0.020244338
10/14/2011,-0.019369883,-0.017721829
10/17/2011,0.020418717,0.009097853
10/18/2011,-0.012649137,-0.020171001
10/19/2011,0.004554179,-0.005770635
10/20/2011,0.018808765,0.010666819
10/21/2011,0.012872959,0.02250489
10/24/2011,-0.020044725,-0.014875433
10/25/2011,0.010536553,0.004468168
10/26/2011,0.034291438,0.030066047
10/27/2011,0.000389229,0.002829575
10/28/2011,-0.024737503,-0.017820205
10/31/2011,-0.027942247,-0.029029141
11/1/2011,0.016104668,0.011367356
11/2/2011,0.018781808,0.025403974
11/3/2011,-0.006280017,-0.004054097
11/4/2011,0.006295744,0.005578046
11/7/2011,0.011735639,0.011694262
11/8/2011,-0.036695143,-0.036306888
11/9/2011,0.008624176,0.001537532
11/10/2011,0.01948054,0.019192314
11/11/2011,-0.009550142,-0.004519191
11/14/2011,0.004817164,0.013922296
11/15/2011,-0.016616201,-0.014925223
11/16/2011,-0.016799952,-0.022121142
11/17/2011,-0.000394679,-0.008367042
11/18/2011,-0.018648495,-0.020624917
11/21/2011,-0.004140841,-0.001276395
11/22/2011,-0.022095215,-0.024121381
11/23/2011,-0.002685507,-0.007529948
11/25/2011,0.029240425,0.034636351
11/28/2011,0.002213653,-0.007332847
11/29/2011,0.043315308,0.040308193
11/30/2011,-0.001908646,0.004785506
12/1/2011,-0.000240987,-0.001229316
12/2/2011,0.010287015,0.014305711
12/5/2011,0.001105749,-0.001212982
12/6/2011,0.002018355,0.000151654
12/7/2011,-0.02114181,-0.016851485
12/8/2011,0.016883352,0.017449051
12/9/2011,-0.014914054,-0.014265989
12/12/2011,-0.00868601,-0.011085565
12/13/2011,-0.011348367,-0.018060124
12/14/2011,0.003243101,-0.003963818
12/15/2011,0.00321615,0.003343073
12/16/2011,-0.011732825,-0.011740635
12/19/2011,0.029825423,0.030823356
12/20/2011,0.001949506,-0.020869018
12/21/2011,0.00826555,0.012906352
12/22/2011,0.009035053,0.009595825
12/23/2011,7.91082E-05,0.002025492
12/27/2011,-0.012478002,-0.012284174
12/28/2011,0.010707088,0.008029034
12/29/2011,-0.004291337,-0.002030421
12/30/2011,0.015473985,0.015492954
1/3/2012,0.000187924,0.003852811
1/4/2012,0.002943717,0.006447508
1/5/2012,-0.002536961,0.001678057
1/6/2012,0.002261597,-0.001827333
1/9/2012,0.00888577,0.005034269
1/10/2012,0.000309597,0.002883785
1/11/2012,0.002336609,0.003027162
1/12/2012,-0.004947923,-0.007092189
1/13/2012,0.003552955,0.005471155
1/17/2012,0.011107929,0.017684357
1/18/2012,0.004938657,0.008020299
1/19/2012,0.00066946,0.003388744
1/20/2012,0.000471343,0.003230874
1/23/2012,-0.001025818,0.001756282
1/24/2012,0.008679143,0.010227777
1/25/2012,-0.005753891,-0.005206747
1/26/2012,-0.001592878,0.00189009
1/27/2012,-0.002522123,0.002176615
1/30/2012,-0.000456947,0.001882303
1/31/2012,0.008899606,0.01069512
2/1/2012,0.001095147,0.002574545
2/2/2012,0.014605357,0.013692499
2/3/2012,-0.000423874,0.000984882
2/6/2012,0.002023382,0.003092074
2/7/2012,0.002160211,0.008689298
2/8/2012,0.00147411,0.009168855
2/9/2012,-0.006886302,-0.008810577
2/10/2012,0.006800039,0.005972188
2/13/2012,-0.000939524,0.003589565
2/14/2012,-0.005383206,-0.005365148
2/15/2012,0.011025706,0.015767781
2/16/2012,0.00234893,-0.002178949
2/17/2012,0.000719923,0.003821056
2/21/2012,-0.003340107,-0.004894223
2/22/2012,0.004272002,0.004371983
2/23/2012,0.001672238,0.00462465
2/24/2012,0.001354559,0.00162426
2/27/2012,0.003356333,0.007840463
2/28/2012,-0.004736988,-0.005230901
2/29/2012,0.00615804,0.006876326
3/1/2012,-0.003245756,-0.002678483
3/2/2012,-0.003869694,-0.011143892
3/5/2012,-0.015370161,-0.010726301
3/6/2012,0.006900622,0.007960646
3/7/2012,0.009817932,0.010756868
3/8/2012,0.00363125,0.00444591
3/9/2012,0.000160461,0.001341232
3/12/2012,0.018131549,0.021028552
3/13/2012,-0.001196262,0.005378556
3/14/2012,0.005967199,0.003913739
3/15/2012,0.001119398,-0.001169141
3/16/2012,0.003973846,0.007937248
3/19/2012,-0.003000518,-0.000387051
3/20/2012,-0.001871197,-0.000129362
3/21/2012,-0.007206542,-0.004004296
3/22/2012,0.003108858,0.000648592
3/23/2012,0.013885825,0.016234333
3/26/2012,-0.002816775,0.000638445
3/27/2012,-0.004941509,-0.002297062
3/28/2012,-0.00160793,-0.001790893
3/29/2012,0.003698436,-0.002946929
3/30/2012,0.007504646,0.010409836
4/2/2012,-0.003988636,-0.001399078
4/3/2012,-0.010202524,-0.015030096
4/4/2012,-0.000629042,0.002845055
4/5/2012,-0.011358438,-0.006576103
4/9/2012,-0.017081454,-0.014668121
4/10/2012,0.007448896,0.005005832
4/11/2012,0.013779388,0.013763317
4/12/2012,-0.012475001,-0.017325857
4/13/2012,-0.000503601,-0.011052808
4/16/2012,0.015486674,0.023549801
4/17/2012,-0.004055288,-0.007669401
4/18/2012,-0.005934397,-0.015194955
4/19/2012,0.001169265,-0.006650592
4/20/2012,-0.00840757,-0.007766632
4/23/2012,0.003679774,-0.007017593
4/24/2012,0.013644592,0.031122793
4/25/2012,0.006680166,0.007249183
4/26/2012,0.002414324,-0.000130774
4/27/2012,-0.003883502,-0.009161345
4/30/2012,0.005658384,0.003038158
5/1/2012,-0.002496683,0.001579955
